Step,Average_Reward
39100,-149.99999999999918
39300,-149.99999999999918
39200,-149.99999999999918
39400,-149.99999999999918
39300,-149.99999999999918
39500,-149.99999999999918
39400,-149.99999999999918
39600,-149.99999999999918
39500,-149.99999999999918
39700,-149.99999999999918
39600,-149.99999999999918
39800,-149.99999999999918
39700,-149.99999999999918
39900,-149.99999999999918
39800,-149.99999999999918
40000,-149.99999999999918
39900,-149.99999999999918
40100,-149.99999999999918
40000,-149.99999999999918
40200,-149.99999999999918
40100,-149.99999999999918
40300,-149.99999999999918
40200,-149.99999999999918
40400,-149.99999999999918
40300,-149.99999999999918
40500,-149.99999999999918
40400,-149.99999999999918
40600,-149.99999999999918
40500,-149.99999999999918
40700,-149.99999999999918
40600,-149.99999999999918
40800,-149.99999999999918
40700,-149.99999999999918
40900,-149.99999999999918
40800,-149.99999999999918
41000,-149.99999999999918
40900,-149.99999999999918
41100,-149.99999999999918
41000,-149.99999999999918
41200,-149.99999999999918
41100,-149.99999999999918
41300,-149.99999999999918
41200,-149.99999999999918
41400,-149.99999999999918
41300,-149.99999999999918
41500,-149.99999999999918
41400,-149.99999999999918
41600,-149.99999999999918
41500,-149.99999999999918
41700,-149.99999999999918
41600,-149.99999999999918
41800,-149.99999999999918
41700,-149.99999999999918
41900,-149.99999999999918
41800,-149.99999999999918
42000,-149.99999999999918
41900,-149.99999999999918
42100,-149.99999999999918
42000,-149.99999999999918
42200,-149.99999999999918
42100,-149.99999999999918
42300,-149.99999999999918
42200,-149.99999999999918
42400,-149.99999999999918
42300,-149.99999999999918
42500,-149.99999999999918
42400,-149.99999999999918
42600,-149.99999999999918
42500,-149.99999999999918
42700,-149.99999999999918
42600,-149.99999999999918
42800,-149.99999999999918
42700,-149.99999999999918
42900,-149.99999999999918
42800,-149.99999999999918
43000,-149.99999999999918
42900,-149.99999999999918
43100,-149.99999999999918
43000,-149.99999999999918
43200,-149.99999999999918
43100,-149.99999999999918
43300,-149.99999999999918
43200,-149.99999999999918
43400,-149.99999999999918
43300,-149.99999999999918
43500,-149.99999999999918
43400,-149.99999999999918
43600,-149.99999999999918
43500,-149.99999999999918
43700,-149.99999999999918
43600,-149.99999999999918
43800,-149.99999999999918
43700,-149.99999999999918
43900,-149.99999999999918
43800,-149.99999999999918
44000,-149.99999999999918
43900,-149.99999999999918
44100,-149.99999999999918
44000,-149.99999999999918
44200,-149.99999999999918
44100,-149.99999999999918
44300,-149.99999999999918
44200,-149.99999999999918
44400,-149.99999999999918
44300,-149.99999999999918
44500,-149.99999999999918
44400,-149.99999999999918
44600,-149.99999999999918
44500,-149.99999999999918
44700,-149.99999999999918
44600,-149.99999999999918
44800,-149.99999999999918
44700,-149.99999999999918
44900,-149.99999999999918
44800,-149.99999999999918
45000,-149.99999999999918
44900,-149.99999999999918
45100,-149.99999999999918
45000,-149.99999999999918
45200,-149.99999999999918
45100,-149.99999999999918
45300,-149.99999999999918
45200,-149.99999999999918
45400,-149.99999999999918
45300,-149.99999999999918
45500,-149.99999999999918
45400,-149.99999999999918
45600,-149.99999999999918
45500,-149.99999999999918
45700,-149.99999999999918
45600,-149.99999999999918
45800,-149.99999999999918
45700,-149.99999999999918
45900,-149.99999999999918
45800,-149.99999999999918
46000,-149.99999999999918
45900,-149.99999999999918
46100,-149.99999999999918
46000,-149.99999999999918
46200,-149.99999999999918
46100,-149.99999999999918
46300,-149.99999999999918
46200,-149.99999999999918
46400,-149.99999999999918
46300,-149.99999999999918
46500,-149.99999999999918
46400,-149.99999999999918
46600,-149.99999999999918
46500,-149.99999999999918
46700,-149.99999999999918
46600,-149.99999999999918
46800,-149.99999999999918
46700,-149.99999999999918
46900,-149.99999999999918
46800,-149.99999999999918
47000,-149.99999999999918
46900,-149.99999999999918
47100,-149.99999999999918
47000,-149.99999999999918
47200,-149.99999999999918
47100,-149.99999999999918
47300,-149.99999999999918
47200,-149.99999999999918
47400,-149.99999999999918
47300,-149.99999999999918
47500,-149.99999999999918
47400,-149.99999999999918
47600,-149.99999999999918
47500,-149.99999999999918
47700,-149.99999999999918
47600,-149.99999999999918
47800,-149.99999999999918
47700,-149.99999999999918
47900,-149.99999999999918
47800,-149.99999999999918
48000,-149.99999999999918
47900,-149.99999999999918
48100,-149.99999999999918
48000,-149.99999999999918
48200,-149.99999999999918
48100,-149.99999999999918
48300,-149.99999999999918
48200,-149.99999999999918
48400,-149.99999999999918
48300,-149.99999999999918
48500,-149.99999999999918
48400,-149.99999999999918
48600,-149.99999999999918
48500,-149.99999999999918
48700,-149.99999999999918
48600,-149.99999999999918
48800,-149.99999999999918
48700,-149.99999999999918
48900,-149.99999999999918
48800,-149.99999999999918
49000,-149.99999999999918
48900,-149.99999999999918
49100,-149.99999999999918
33600,0.9914459067897655
33700,1.3430615537923556
33800,1.1827304750713972
33900,1.2534698125355797
34000,-3.634464011453338
34100,-5.654586418943108
34200,-3.484786668865538
34300,-1.1887575896902356
34400,-0.3630278434189948
34500,-3.3323561640846737
34600,-8.397421048932543
34700,-7.229675178341844
34800,-12.801953963821976
34900,-8.448456169103164
35000,-8.624607767973872
35100,-9.087618674019117
35200,-10.992128218214944
35300,-9.514560514742996
35400,-11.743299856580295
35500,-12.057172350413994
35600,-13.160147330027613
